"key","institutionCode","species","occurrenceStatus","eventDate","year","month","day","decimalLongitude","decimalLatitude","elevation","identificationVerificationStatus","identifier","datasetKey","provider"
"4592793415","UAR PatriNat","Lutra lutra","PRESENT","2021-02-04",2021,2,4,3.55951,43.84258,279,"Probable","f7565fb5-8a1e-41eb-adf1-041005ffa391","c4101a28-b24a-4fd3-afa7-8e4abe0d9035","PNA Loutre-Lutra_lutra_donnees_Ecologistes_Euziere_2016-2022"
"3939905598","UAR PatriNat","Lutra lutra","PRESENT","2021-03-28",2021,3,28,3.55665,43.70492,NA,"Probable","54b77340-c0b3-4cbd-9ded-f7196d24fa47","7d95137d-4dbe-41ff-9569-a890c84abd6b","UAR PatriNat - opportunistic data SICEN Occitanie"
"3939941777","UAR PatriNat","Lutra lutra","PRESENT","2021-03-08",2021,3,8,3.77635,43.78116,NA,"Probable","fd91dfdc-9c25-11eb-81ad-0242ac110003","7d95137d-4dbe-41ff-9569-a890c84abd6b","UAR PatriNat - opportunistic data SICEN Occitanie"
"3941419303","UAR PatriNat","Lutra lutra","PRESENT","2021-03-20",2021,3,20,3.85718,43.70942,NA,"Probable","2d2c0441-a861-408e-a038-1fe8d93f7e2b","221e96c0-973a-4867-83dd-6354eeaf799f","UAR PatriNat - Louboutin Bastien"
"4087594314","UAR PatriNat","Lutra lutra","PRESENT","2021-03-02",2021,3,2,4.32971,43.54342,1,"Probable","1306b0d6-c79c-414b-9cbe-f2cc30916a4e","2ad3a5c7-3399-434e-a8ab-c4fe62f9f3af","UAR PatriNat - 2022_LPO PACA_7"
"4550807710","UAR PatriNat","Lutra lutra","PRESENT","2021-03-09",2021,3,9,4.06388,43.61805,NA,"Probable","ec35d545-80f6-41eb-aae5-019000566be5","256b9877-cef3-4e8e-84e1-f23299c49655","UAR PatriNat - opportunistic data Faune-France"
"4586651427","UAR PatriNat","Lutra lutra","PRESENT","2021-03-09",2021,3,9,3.77515,43.78283,NA,"Probable","b07ea82d-a12b-4e3a-af3e-ee18d935c554","62c656b7-9614-49c3-a179-842be7908725","UAR PatriNat - GCLR, Thierry ALIGNAN"
"4592793563","UAR PatriNat","Lutra lutra","PRESENT","2021-03-13",2021,3,13,3.30987,43.6636,140,"Probable","dac542ce-83f1-41eb-aae5-041005fa8fe6","c4101a28-b24a-4fd3-afa7-8e4abe0d9035","PNA Loutre-Lutra_lutra_donnees_Ecologistes_Euziere_2016-2022"
"4592794303","UAR PatriNat","Lutra lutra","PRESENT","2021-03-16",2021,3,16,3.68384,43.84187,NA,"Probable","d5365209-502f-45ad-8fb7-76062af5d641","d2f5c9cd-b746-4e3a-9aaa-c4188e5b0231","PNA Loutre-Lutra_lutra_donnees_Ecologistes_Euziere_2016-2021"
"4592794304","UAR PatriNat","Lutra lutra","PRESENT","2021-03-04",2021,3,4,4.0535,43.65894,NA,"Probable","81ccb969-fdbe-42f2-8da9-c1d0997a5b8d","d2f5c9cd-b746-4e3a-9aaa-c4188e5b0231","PNA Loutre-Lutra_lutra_donnees_Ecologistes_Euziere_2016-2021"
"4592794305","UAR PatriNat","Lutra lutra","PRESENT","2021-03-17",2021,3,17,3.8069,43.75103,NA,"Probable","6b03d497-306f-4680-8025-00bde2e5d7cd","d2f5c9cd-b746-4e3a-9aaa-c4188e5b0231","PNA Loutre-Lutra_lutra_donnees_Ecologistes_Euziere_2016-2021"
"4592794307","UAR PatriNat","Lutra lutra","PRESENT","2021-03-16",2021,3,16,3.80817,43.84102,NA,"Probable","28d58601-aa2d-411d-98b3-825cbdd066a6","d2f5c9cd-b746-4e3a-9aaa-c4188e5b0231","PNA Loutre-Lutra_lutra_donnees_Ecologistes_Euziere_2016-2021"
"4087594301","UAR PatriNat","Lutra lutra","PRESENT","2021-04-28",2021,4,28,4.32971,43.54342,1,"Probable","06785aa2-c260-4b6c-a11e-de83ed5e9ab2","2ad3a5c7-3399-434e-a8ab-c4fe62f9f3af","UAR PatriNat - 2022_LPO PACA_7"
"4550652271","UAR PatriNat","Lutra lutra","PRESENT","2021-04-03",2021,4,3,3.81651,43.826,NA,"Probable","e95a9736-956b-41eb-adf1-0410060cd8fb","256b9877-cef3-4e8e-84e1-f23299c49655","UAR PatriNat - opportunistic data Faune-France"
"4551219231","UAR PatriNat","Lutra lutra","PRESENT","2021-04-27",2021,4,27,4.11248,43.65592,NA,"Probable","f978cd0c-a71f-41eb-afaf-041006221eec","256b9877-cef3-4e8e-84e1-f23299c49655","UAR PatriNat - opportunistic data Faune-France"
"4551360041","UAR PatriNat","Lutra lutra","PRESENT","2021-04-24",2021,4,24,3.53274,43.67467,NA,"Probable","fca8b1fd-a52f-41eb-afaf-01900058ce4b","256b9877-cef3-4e8e-84e1-f23299c49655","UAR PatriNat - opportunistic data Faune-France"
"4592793354","UAR PatriNat","Lutra lutra","PRESENT","2021-04-27",2021,4,27,4.0535,43.65894,7,"Probable","f978cd0c-a71f-41eb-afaf-041006221eec","c4101a28-b24a-4fd3-afa7-8e4abe0d9035","PNA Loutre-Lutra_lutra_donnees_Ecologistes_Euziere_2016-2022"
"4592793399","UAR PatriNat","Lutra lutra","PRESENT","2021-04-03",2021,4,3,3.80817,43.84102,186,"Probable","e95a9736-956b-41eb-adf1-0410060cd8fb","c4101a28-b24a-4fd3-afa7-8e4abe0d9035","PNA Loutre-Lutra_lutra_donnees_Ecologistes_Euziere_2016-2022"
"4592794315","UAR PatriNat","Lutra lutra","PRESENT","2021-04-08",2021,4,8,4.0535,43.65894,NA,"Probable","093b3447-856b-4eef-8ff7-53187ed00bba","d2f5c9cd-b746-4e3a-9aaa-c4188e5b0231","PNA Loutre-Lutra_lutra_donnees_Ecologistes_Euziere_2016-2021"
"4597396583","iNaturalist","Lutra lutra","PRESENT","2021-04-11T19:00",2021,4,11,3.857057,43.709948,NA,NA,"201945881","50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist Research-grade Observations"
"3124766650","iNaturalist","Lutra lutra","PRESENT","2021-05-21T11:02:56",2021,5,21,3.792561,43.816119,NA,NA,"79622559","50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist Research-grade Observations"
"4545759717","UAR PatriNat","Lutra lutra","PRESENT","2021-05-30",2021,5,30,3.4007,43.39244,NA,"Probable","16fc0ddc-c775-41eb-85fd-0190005b7286","256b9877-cef3-4e8e-84e1-f23299c49655","UAR PatriNat - opportunistic data Faune-France"
"4592793368","UAR PatriNat","Lutra lutra","PRESENT","2021-05-30",2021,5,30,3.43178,43.39326,10,"Probable","16fc0ddc-c775-41eb-85fd-0190005b7286","c4101a28-b24a-4fd3-afa7-8e4abe0d9035","PNA Loutre-Lutra_lutra_donnees_Ecologistes_Euziere_2016-2022"
"3939948534","UAR PatriNat","Lutra lutra","PRESENT","2021-06-15",2021,6,15,3.73432,43.81873,NA,"Probable","76fc78b3-5be6-415e-8f01-6fcd5a6444b2","7d95137d-4dbe-41ff-9569-a890c84abd6b","UAR PatriNat - opportunistic data SICEN Occitanie"
"3939980556","UAR PatriNat","Lutra lutra","PRESENT","2021-06-04",2021,6,4,3.73252,43.81886,NA,"Probable","4a188495-60ca-446c-a1ba-b527f72ddd37","7d95137d-4dbe-41ff-9569-a890c84abd6b","UAR PatriNat - opportunistic data SICEN Occitanie"
"4550199661","UAR PatriNat","Lutra lutra","PRESENT","2021-06-24",2021,6,24,4.46447,43.50432,NA,"Probable","dfde53f0-9616-41ec-9fd9-005000920857","256b9877-cef3-4e8e-84e1-f23299c49655","UAR PatriNat - opportunistic data Faune-France"
"4551048153","UAR PatriNat","Lutra lutra","PRESENT","2021-06-05",2021,6,5,4.34217,43.93134,NA,"Probable","f7f945e9-c946-41eb-85fd-04100644ff8e","256b9877-cef3-4e8e-84e1-f23299c49655","UAR PatriNat - opportunistic data Faune-France"
"4551336433","UAR PatriNat","Lutra lutra","PRESENT","2021-06-03",2021,6,3,4.29229,43.92589,NA,"Probable","fb93f939-c479-41eb-85fd-04100640697f","256b9877-cef3-4e8e-84e1-f23299c49655","UAR PatriNat - opportunistic data Faune-France"
"4592793377","UAR PatriNat","Lutra lutra","PRESENT","2021-06-05",2021,6,5,4.30749,43.92618,69,"Probable","f7f945e9-c946-41eb-85fd-04100644ff8e","c4101a28-b24a-4fd3-afa7-8e4abe0d9035","PNA Loutre-Lutra_lutra_donnees_Ecologistes_Euziere_2016-2022"
"4545497536","UAR PatriNat","Lutra lutra","PRESENT","2021-07-03",2021,7,3,4.13452,44.05123,NA,"Probable","05d4a8d5-dc3b-41eb-9207-04100652c105","256b9877-cef3-4e8e-84e1-f23299c49655","UAR PatriNat - opportunistic data Faune-France"
